time,uy
0.0,-0.0430376239088187
0.01,-0.11428997421269779
0.02,-0.1961924409420806
0.03,-0.27248118665670257
0.04,-0.33194458172508773
0.05,-0.37027150471691334
0.06,-0.3892443643036205
0.07,-0.3943268434355646
0.08,-0.3925477491103816
0.09,-0.39069214979944955
0.1,-0.39412491754877277
0.11,-0.4061933980930566
0.12,-0.42850101903439547
0.13,-0.46075290500675514
0.14,-0.5012185929498275
0.15,-0.5473557653365871
0.16,-0.596519358194578
0.17,-0.6465881697406068
0.18,-0.6963136423048354
0.19,-0.7453791500131798
0.2,-0.7942432419904627
0.21,-0.8438605073767361
0.22,-0.8954353377327413
0.23,-0.9501485931024153
0.24,-1.0089350271452913
0.25,-1.072355963446604
0.26,-1.1405517882576557
0.27,-1.2133056458148588
0.28,-1.2901484399361696
0.29,-1.3705019494435426
0.3,-1.4537960198316668
0.31,-1.5395364888167733
0.32,-1.6273211722943952
0.33,-1.7168208430345522
0.34,-1.8077479299771853
0.35000000000000003,-1.8997941872355533
0.36,-1.9925624413120677
0.37,-2.085602320266904
0.38,-2.1784211158157336
0.39,-2.270500937710359
0.4,-2.3613312944921625
0.41000000000000003,-2.450428269697018
0.42,-2.537347176343857
0.43,-2.62168642143657
0.44,-2.70309368082662
0.45,-2.7812646955093223
0.46,-2.8559129825646923
0.47000000000000003,-2.9267775221194947
0.48,-2.9936486570033143
0.49,-3.056370473998917
0.5,-3.114847427085067
0.51,-3.1690489625435188
0.52,-3.219012860122362
0.53,-3.264840087615322
0.54,-3.306691689223027
0.55,-3.3447752923049987
0.56,-3.3793268252753976
0.5700000000000001,-3.4106082572610945
0.58,-3.438902052252364
0.59,-3.4644997136402207
0.6,-3.487687366162864
0.61,-3.5087470120438855
0.62,-3.527953221826834
0.63,-3.5455677099960163
0.64,-3.561818277848679
0.65,-3.576914512962967
0.66,-3.5910433920358447
0.67,-3.6043650411774526
0.68,-3.617004864728866
0.6900000000000001,-3.629056885099554
0.7000000000000001,-3.6405868966723953
0.71,-3.651634931315383
0.72,-3.6622179706124443
0.73,-3.672335261551193
0.74,-3.681979037552059
0.75,-3.6911376149264026
0.76,-3.6997961839919378
0.77,-3.707937511739677
0.78,-3.715542832129027
0.79,-3.722588724414879
0.8,-3.7290465295743527
0.81,-3.734882221333712
0.8200000000000001,-3.740061418414587
0.8300000000000001,-3.7445511110857916
0.84,-3.748320233697792
0.85,-3.751340514442618
0.86,-3.7535906340749197
0.87,-3.7550567443363625
0.88,-3.755731679592937
0.89,-3.7556128190758513
0.9,-3.7547049694846613
0.91,-3.753018906158427
0.92,-3.7505690686606536
0.93,-3.747374563375025
0.9400000000000001,-3.743458415775032
0.9500000000000001,-3.738848320773627
0.96,-3.733573162799239
0.97,-3.7276612133917357
0.98,-3.721132092238473
0.99,-3.7140067702340747
