time,m,p+PV+PC
0.0,0.0,0.10201999591919995
0.01,-1.3276389557891342e-22,1.8602321070080945
0.02,-5.331387959505288e-22,7.417664481543813
0.03,-1.2089713920856602e-21,16.65490520319963
0.04,-2.1762338224729468e-21,29.57094436767982
0.05,-3.458901472605804e-21,46.142343981788436
0.06,-5.084961294513241e-21,66.31323824499792
0.07,-7.07733899341325e-21,89.96014197427006
0.08,-9.4388122005889e-21,116.82181722230386
0.09,-1.2131182874260964e-20,146.45839714836674
0.1,-1.5051149221621495e-20,178.20682996135724
0.11,-1.8009037706776307e-20,211.13864421431163
0.12,-2.072216559921333e-20,244.1702660396724
0.13,-2.283673808991253e-20,276.2226311061951
0.14,-2.3988242244027736e-20,306.4141937096191
0.15,-2.3893802370703542e-20,334.200355154612
0.16,-2.2455903844958475e-20,359.43025334548787
0.17,-1.9853270631242464e-20,382.3605850113205
0.18,-1.6585167685741075e-20,403.67392655867604
0.19,-1.3425870826796797e-20,424.487175685418
0.2,-1.1295645330667333e-20,446.2769743058972
0.21,-1.1160958258696803e-20,470.67835441311684
0.22,-1.4056413135366682e-20,499.21159079968106
0.23,-2.1077854715022608e-20,533.0351405608717
0.24,-3.304238956546279e-20,572.7722901226089
0.25,-4.973121963271836e-20,618.4061359696647
0.26,-6.901505907768376e-20,669.235092244458
0.27,-8.636929414194011e-20,723.9151848618365
0.28,-9.519415941360031e-20,780.6380631082736
0.29,-8.797648034662742e-20,837.4390996941786
0.3,-5.785279082823814e-20,892.5230863316625
0.31,9.93315163323301e-23,944.4696217743558
0.32,8.83431531063236e-20,992.2752079657812
0.33,2.0720649527361668e-19,1035.2878050479108
0.34,3.557249221972471e-19,1073.1088695369428
0.35000000000000003,5.32577636022064e-19,1105.505445056129
0.36,7.368507086870471e-19,1132.3420283751182
0.37,9.685858859415465e-19,1153.525593126733
0.38,1.2292133581952014e-18,1168.9515690805329
0.39,1.5220077291129727e-18,1178.4355079383665
0.4,1.8526805762882884e-18,1181.6050737708338
0.41000000000000003,2.230150028631073e-18,1177.67732726476
0.42,2.667470476030184e-18,1164.8640316470141
0.43,3.1829324809498255e-18,1139.0374068378176
0.44,3.799558558539082e-18,1093.547911243594
0.45,4.537831982329089e-18,1024.6338456985836
0.46,5.406618407704232e-18,935.582785068147
0.47000000000000003,6.400098204301743e-18,832.3088658617496
0.48,7.496560316550186e-18,719.2624304177702
0.49,8.660023072465949e-18,599.9374802807953
0.5,9.846992449023435e-18,478.2782541209393
0.51,1.1015067630784638e-17,358.7490846262366
0.52,1.2129414380479206e-17,245.5263272847862
0.53,1.3165692495610868e-17,141.76108863127487
0.54,1.411004295153923e-17,49.29978122696674
0.55,1.4957398191939313e-17,-31.211221261386722
0.56,1.5709199811050214e-17,-100.03717749258826
0.5700000000000001,1.6371186878227924e-17,-158.0362036061618
0.58,1.6951559828950402e-17,-206.38717735586502
0.59,1.745960140094241e-17,-246.38811501100918
0.6,1.7904722801369005e-17,-279.32192446869874
0.61,1.8295858426570745e-17,-306.37641553670437
0.62,1.8641124001248563e-17,-328.6038578616295
0.63,1.8947661326099002e-17,-346.9072209375062
0.64,1.9221607183671727e-17,-362.04305519741075
0.65,1.946813897641798e-17,-374.63372884011727
0.66,1.9691562972892757e-17,-385.18404539934977
0.67,1.9895421811244066e-17,-394.0990515070115
0.68,2.0082606127624066e-17,-401.701142935616
0.6900000000000001,2.0255461157806272e-17,-408.24547290635223
0.7000000000000001,2.0415883330856084e-17,-413.93325111240125
0.71,2.056540465776394e-17,-418.9228787228885
0.72,2.0705264484402996e-17,-423.33906353034604
0.73,2.083646922531016e-17,-427.2801544512746
0.74,2.0959841251807256e-17,-430.82396530411523
0.75,2.1076058344153457e-17,-434.0323515460914
0.76,2.1185685153616748e-17,-436.9547784559027
0.77,2.12891980401906e-17,-439.6310863105337
0.78,2.1387004511160737e-17,-442.0936239650008
0.79,2.14794583209588e-17,-444.368890393759
0.8,2.1566871125919662e-17,-446.4787957860862
0.81,2.1649521431381643e-17,-448.44163018188004
0.8200000000000001,2.1727661429443512e-17,-450.2728082553032
0.8300000000000001,2.1801522206009818e-17,-451.9854432682928
0.84,2.187131769547317e-17,-453.5907908807905
0.85,2.1937247679075883e-17,-455.09859386265174
0.86,2.199950005657541e-17,-456.5173512933442
0.87,2.2058252567992037e-17,-457.8545301136728
0.88,2.2113674100669018e-17,-459.116732533538
0.89,2.2165925684542637e-17,-460.30982949755435
0.9,2.221516125357661e-17,-461.4390679187346
0.91,2.2261528232217696e-17,-462.50915751888573
0.92,2.2305167991198008e-17,-463.5243417105149
0.93,2.2346216206011374e-17,-464.4884559047257
0.9400000000000001,2.2384803143102608e-17,-465.4049758437045
0.9500000000000001,2.2421053892580477e-17,-466.2770579679548
0.96,2.2455088561597212e-17,-467.1075733877936
0.97,2.2487022439041676e-17,-467.89913669657363
0.98,2.251696613957443e-17,-468.6541306127397
0.99,2.2545025733069226e-17,-469.3747272467025
